label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions
A,72,san_antonio Zoning,not_found,,
A-4,72,san_antonio Zoning,not_found,,
2F-C,72,san_antonio Zoning,not_found,,
A-2,72,san_antonio Zoning,not_found,,
A-3,72,san_antonio Zoning,not_found,,
A-1,72,san_antonio Zoning,not_found,,
Multiple,27,zoning,resolved,CR-4|CR-5|MR,Multiple Residence Zoning District 4|Multiple Residence Zoning District 5|Multiple Residence Zoning District
OS,24,Wickenburg Zoning,not_found,,
Government - Park,60,tolleson Zoning,resolved,Government -Park,Government -Park
Park,20,zoning,resolved,MH/RVP|I-1|I-2|PARK,Manufactured Home Park or Recreational Vehicle Park|Light Industrial Park|General Industrial Park|Park
MH-435,27,zoning,resolved,MH,Manufactured Home Zoning District
PAD,60,tolleson Zoning,resolved,P.A.D.,Planned Area Development District
MPCMP,27,zoning,resolved,MP-CMP,Multi-Purpose Community Master Plan Zoning District
RVP,27,zoning,resolved,PM/RVP|PM/RVP-435,Park Model (PM) And Recreational Vehicle (RVP) Park Zone|Park Model/Recreational Vehicle Park Zoning District
PAD-19,64,Tucson Zoning,resolved,PAD,Planned Area Development
APD,72,san_antonio Zoning,not_found,,
AD,72,san_antonio Zoning,not_found,,
AA,72,san_antonio Zoning,not_found,,
AG-T,72,san_antonio Zoning,not_found,,
B2,72,san_antonio Zoning,not_found,,
B-2,72,san_antonio Zoning,not_found,,
B-1A,72,san_antonio Zoning,not_found,,
B-1,72,san_antonio Zoning,not_found,,
AG,72,san_antonio Zoning,not_found,,
B-1B,72,san_antonio Zoning,not_found,,
B1,72,san_antonio Zoning,not_found,,
A-5,72,san_antonio Zoning,not_found,,
A-R,72,san_antonio Zoning,not_found,,
B,72,san_antonio Zoning,not_found,,
AG/ETJ,72,san_antonio Zoning,not_found,,
C-2A,72,san_antonio Zoning,not_found,,
C-2,72,san_antonio Zoning,not_found,,
C1,72,san_antonio Zoning,not_found,,
B4,72,san_antonio Zoning,not_found,,
B-4,72,san_antonio Zoning,not_found,,
B3,72,san_antonio Zoning,not_found,,
B-3,72,san_antonio Zoning,not_found,,
C2,72,san_antonio Zoning,not_found,,
C-1B,72,san_antonio Zoning,not_found,,
C-1,72,san_antonio Zoning,not_found,,
