label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions,fix_command
2F-C,72,san_antonio Zoning,not_found_location,,,
A-4,72,san_antonio Zoning,not_found_location,,,
A,72,san_antonio Zoning,not_found_location,,,
A-2,72,san_antonio Zoning,not_found_location,,,
A-3,72,san_antonio Zoning,not_found_location,,,
A-1,72,san_antonio Zoning,not_found_location,,,
A-5,72,san_antonio Zoning,not_found_location,,,
OS,24,Wickenburg Zoning,not_found_zone,,,"insert_zone(24, ""OS"", ""OS"")"
MH-435,27,zoning,resolved,MH,Manufactured Home Zoning District,"copy_zone(27, [369], ""MH-435"", ""Manufactured Home Zoning District"", None)"
Multiple,27,zoning,resolved,CR-4|CR-5|MR,Multiple Residence Zoning District 4|Multiple Residence Zoning District 5|Multiple Residence Zoning District,"copy_zone(27, [367, 368, 394], ""Multiple"", ""Multiple Residence Zoning District 4"", None)"
MPCMP,27,zoning,resolved,MP-CMP,Multi-Purpose Community Master Plan Zoning District,"copy_zone(27, [409], ""MPCMP"", ""Multi-Purpose Community Master Plan Zoning District"", None)"
Park,20,zoning,resolved,MH/RVP|I-1|PARK,Manufactured Home Park or Recreational Vehicle Park|Light Industrial Park|Park,"copy_zone(20, [424, 430, 4216], ""Park"", ""Manufactured Home Park or Recreational Vehicle Park"", None)"
Government - Park,60,tolleson Zoning,resolved,R-MHP|RVP|Government -Park,Residential Mobile Home Park District|Recreational Vehicle Park District|Government -Park,"copy_zone(60, [1692, 1693, 4740], ""Government - Park"", ""Residential Mobile Home Park District"", None)"
PAD,60,tolleson Zoning,resolved,P.A.D.,Planned Area Development District,"copy_zone(60, [3414], ""PAD"", ""Planned Area Development District"", None)"
RVP,27,zoning,resolved,RV,Recreational Vehicle Homesite Zoning District,"copy_zone(27, [370], ""RVP"", ""Recreational Vehicle Homesite Zoning District"", None)"
PAD-19,64,Tucson Zoning,resolved,PAD,Planned Area Development,"copy_zone(64, [3731], ""PAD-19"", ""Planned Area Development"", None)"
B2,72,san_antonio Zoning,not_found_location,,,
B-2,72,san_antonio Zoning,not_found_location,,,
APD,72,san_antonio Zoning,not_found_location,,,
AG-T,72,san_antonio Zoning,not_found_location,,,
B-1A,72,san_antonio Zoning,not_found_location,,,
B,72,san_antonio Zoning,not_found_location,,,
A-R,72,san_antonio Zoning,not_found_location,,,
B-1B,72,san_antonio Zoning,not_found_location,,,
AA,72,san_antonio Zoning,not_found_location,,,
B1,72,san_antonio Zoning,not_found_location,,,
AG,72,san_antonio Zoning,not_found_location,,,
AG/ETJ,72,san_antonio Zoning,not_found_location,,,
B-3,72,san_antonio Zoning,not_found_location,,,
B-1,72,san_antonio Zoning,not_found_location,,,
AD,72,san_antonio Zoning,not_found_location,,,
B3,72,san_antonio Zoning,not_found_location,,,
C,72,san_antonio Zoning,not_found_location,,,
B4,72,san_antonio Zoning,not_found_location,,,
C1,72,san_antonio Zoning,not_found_location,,,
C-3,72,san_antonio Zoning,not_found_location,,,
C2,72,san_antonio Zoning,not_found_location,,,
C-2,72,san_antonio Zoning,not_found_location,,,
B-4,72,san_antonio Zoning,not_found_location,,,
C-1B,72,san_antonio Zoning,not_found_location,,,
B-5,72,san_antonio Zoning,not_found_location,,,
C-1,72,san_antonio Zoning,not_found_location,,,
B3-OD,72,san_antonio Zoning,not_found_location,,,
C-1A,72,san_antonio Zoning,not_found_location,,,
C-2A,72,san_antonio Zoning,not_found_location,,,
C3R,72,san_antonio Zoning,not_found_location,,,
C3,72,san_antonio Zoning,not_found_location,,,
C-4,72,san_antonio Zoning,not_found_location,,,
C-4A,72,san_antonio Zoning,not_found_location,,,
ER-2,72,san_antonio Zoning,not_found_location,,,
C-O,72,san_antonio Zoning,not_found_location,,,
C-4B,72,san_antonio Zoning,not_found_location,,,
DP-1,72,san_antonio Zoning,not_found_location,,,
Civic,72,san_antonio Zoning,not_found_location,,,
CE-PUD,72,san_antonio Zoning,not_found_location,,,
CC,72,san_antonio Zoning,not_found_location,,,
DP-2,72,san_antonio Zoning,not_found_location,,,
D,72,san_antonio Zoning,not_found_location,,,
C5,72,san_antonio Zoning,not_found_location,,,
C4,72,san_antonio Zoning,not_found_location,,,
ER-1,72,san_antonio Zoning,not_found_location,,,
E,72,san_antonio Zoning,not_found_location,,,
ER-3,72,san_antonio Zoning,not_found_location,,,
DVL,72,san_antonio Zoning,not_found_location,,,
GH,72,san_antonio Zoning,not_found_location,,,
G,72,san_antonio Zoning,not_found_location,,,
IDZ-1,72,san_antonio Zoning,not_found_location,,,
I1,72,san_antonio Zoning,not_found_location,,,
L-1,72,san_antonio Zoning,not_found_location,,,
I-1,72,san_antonio Zoning,not_found_location,,,
G/E,72,san_antonio Zoning,not_found_location,,,
H,72,san_antonio Zoning,not_found_location,,,
ETJ,72,san_antonio Zoning,not_found_location,,,
F,72,san_antonio Zoning,not_found_location,,,
I-2,72,san_antonio Zoning,not_found_location,,,
ER-4,72,san_antonio Zoning,not_found_location,,,
GB,72,san_antonio Zoning,not_found_location,,,
GB-2,72,san_antonio Zoning,not_found_location,,,
I,72,san_antonio Zoning,not_found_location,,,
LI,72,san_antonio Zoning,not_found_location,,,
MF1,72,san_antonio Zoning,not_found_location,,,
MF,72,san_antonio Zoning,not_found_location,,,
MF2,72,san_antonio Zoning,not_found_location,,,
M-2,72,san_antonio Zoning,not_found_location,,,
M-1,72,san_antonio Zoning,not_found_location,,,
M-2A,72,san_antonio Zoning,not_found_location,,,
Logistics,72,san_antonio Zoning,not_found_location,,,
MF-2,72,san_antonio Zoning,not_found_location,,,
MF-1,72,san_antonio Zoning,not_found_location,,,
MF-40,72,san_antonio Zoning,not_found_location,,,
MF-25,72,san_antonio Zoning,not_found_location,,,
M-1A,72,san_antonio Zoning,not_found_location,,,
MF-18,72,san_antonio Zoning,not_found_location,,,
MF-3,72,san_antonio Zoning,not_found_location,,,
MF-33,72,san_antonio Zoning,not_found_location,,,
MF-D,72,san_antonio Zoning,not_found_location,,,
MR,72,san_antonio Zoning,not_found_location,,,
MH1,72,san_antonio Zoning,not_found_location,,,
MU,72,san_antonio Zoning,not_found_location,,,
MI-1,72,san_antonio Zoning,not_found_location,,,
M-U,72,san_antonio Zoning,not_found_location,,,
MRD,72,san_antonio Zoning,not_found_location,,,
MI-2,72,san_antonio Zoning,not_found_location,,,
MH,72,san_antonio Zoning,not_found_location,,,
MHS,72,san_antonio Zoning,not_found_location,,,
MU-A,72,san_antonio Zoning,not_found_location,,,
MHP,72,san_antonio Zoning,not_found_location,,,
M-R,72,san_antonio Zoning,not_found_location,,,
MH2,72,san_antonio Zoning,not_found_location,,,
MSMU,72,san_antonio Zoning,not_found_location,,,
MURE,72,san_antonio Zoning,not_found_location,,,
MU-B,72,san_antonio Zoning,not_found_location,,,
OP,72,san_antonio Zoning,not_found_location,,,
None,72,san_antonio Zoning,not_found_location,,,
NS,72,san_antonio Zoning,not_found_location,,,
NC,72,san_antonio Zoning,not_found_location,,,
O-1,72,san_antonio Zoning,not_found_location,,,
MUV,72,san_antonio Zoning,not_found_location,,,
OS,72,san_antonio Zoning,not_found_location,,,
O-2,72,san_antonio Zoning,not_found_location,,,
OTHSD,72,san_antonio Zoning,not_found_location,,,
NR,72,san_antonio Zoning,not_found_location,,,
MXD,72,san_antonio Zoning,not_found_location,,,
O1,72,san_antonio Zoning,not_found_location,,,
P,72,san_antonio Zoning,not_found_location,,,
Parks,72,san_antonio Zoning,not_found_location,,,
PDD,72,san_antonio Zoning,not_found_location,,,
PD,72,san_antonio Zoning,not_found_location,,,
R-1,72,san_antonio Zoning,not_found_location,,,
R2,72,san_antonio Zoning,not_found_location,,,
PRE,72,san_antonio Zoning,not_found_location,,,
R-1A-8,72,san_antonio Zoning,not_found_location,,,
R-1A-5.5,72,san_antonio Zoning,not_found_location,,,
PF-I,72,san_antonio Zoning,not_found_location,,,
Public,72,san_antonio Zoning,not_found_location,,,
R1,72,san_antonio Zoning,not_found_location,,,
PF-P,72,san_antonio Zoning,not_found_location,,,
PUD,72,san_antonio Zoning,not_found_location,,,
R-2,72,san_antonio Zoning,not_found_location,,,
R-1A-6.6,72,san_antonio Zoning,not_found_location,,,
PUB,72,san_antonio Zoning,not_found_location,,,
PP,72,san_antonio Zoning,not_found_location,,,
R-1A-4,72,san_antonio Zoning,not_found_location,,,
R-20,72,san_antonio Zoning,not_found_location,,,
R-3A,72,san_antonio Zoning,not_found_location,,,
R-3,72,san_antonio Zoning,not_found_location,,,
R4,72,san_antonio Zoning,not_found_location,,,
R5,72,san_antonio Zoning,not_found_location,,,
R-2C,72,san_antonio Zoning,not_found_location,,,
R3,72,san_antonio Zoning,not_found_location,,,
R-7,72,san_antonio Zoning,not_found_location,,,
R-A,72,san_antonio Zoning,not_found_location,,,
R-3H,72,san_antonio Zoning,not_found_location,,,
R-6,72,san_antonio Zoning,not_found_location,,,
R-5,72,san_antonio Zoning,not_found_location,,,
R-2B,72,san_antonio Zoning,not_found_location,,,
R-2A,72,san_antonio Zoning,not_found_location,,,
R-3L,72,san_antonio Zoning,not_found_location,,,
R-4,72,san_antonio Zoning,not_found_location,,,
RA,72,san_antonio Zoning,not_found_location,,,
RM-4,72,san_antonio Zoning,not_found_location,,,
R-R,72,san_antonio Zoning,not_found_location,,,
ROW,72,san_antonio Zoning,not_found_location,,,
R-OT,72,san_antonio Zoning,not_found_location,,,
SD,72,san_antonio Zoning,not_found_location,,,
SC,72,san_antonio Zoning,not_found_location,,,
RM-5,72,san_antonio Zoning,not_found_location,,,
RR,72,san_antonio Zoning,not_found_location,,,
RE,72,san_antonio Zoning,not_found_location,,,
RP,72,san_antonio Zoning,not_found_location,,,
RE-1,72,san_antonio Zoning,not_found_location,,,
RM-6,72,san_antonio Zoning,not_found_location,,,
RD,72,san_antonio Zoning,not_found_location,,,
ROW/ESMTs,72,san_antonio Zoning,not_found_location,,,
R-TH,72,san_antonio Zoning,not_found_location,,,
SD-1,72,san_antonio Zoning,not_found_location,,,
SUP,72,san_antonio Zoning,not_found_location,,,
SF4,72,san_antonio Zoning,not_found_location,,,
SD-4,72,san_antonio Zoning,not_found_location,,,
SF-B,72,san_antonio Zoning,not_found_location,,,
SD-3,72,san_antonio Zoning,not_found_location,,,
S-R,72,san_antonio Zoning,not_found_location,,,
Town,72,san_antonio Zoning,not_found_location,,,
SF2,72,san_antonio Zoning,not_found_location,,,
SF5,72,san_antonio Zoning,not_found_location,,,
Tax,72,san_antonio Zoning,not_found_location,,,
TH-A,72,san_antonio Zoning,not_found_location,,,
TH,72,san_antonio Zoning,not_found_location,,,
SFR,72,san_antonio Zoning,not_found_location,,,
SF6,72,san_antonio Zoning,not_found_location,,,
SF-A,72,san_antonio Zoning,not_found_location,,,
TR1,72,san_antonio Zoning,not_found_location,,,
ZH-A,72,san_antonio Zoning,not_found_location,,,
ZL,72,san_antonio Zoning,not_found_location,,,
Unincorporated,72,san_antonio Zoning,not_found_location,,,
Unclassified,72,san_antonio Zoning,not_found_location,,,
ZH,72,san_antonio Zoning,not_found_location,,,
WSD,72,san_antonio Zoning,not_found_location,,,
Z-1,72,san_antonio Zoning,not_found_location,,,
CC,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""CC"", ""CC"")"
CB-1,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""CB-1"", ""CB-1"")"
2F/PH,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""2F/PH"", ""2F/PH"")"
2F,83,Plano Zoning,resolved,R-2,Two Family Residential,"copy_zone(83, [33881], ""2F"", ""Two Family Residential"", None)"
ED,83,Plano Zoning,resolved,E|D,One-Story Office-Professional District|High-Rise Apartment District,"copy_zone(83, [33986, 33985], ""ED"", ""One-Story Office-Professional District"", None)"
BG,83,Plano Zoning,resolved,B|G,Duplex Residential District|General Business District,"copy_zone(83, [33983, 33989], ""BG"", ""Duplex Residential District"", None)"
CE,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""CE"", ""CE"")"
COM-CEN,83,Plano Zoning,resolved,SC|C-2|C-3,Shopping Center District|General Commercial|Commercial,"copy_zone(83, [33959, 33890, 33894], ""COM-CEN"", ""Shopping Center District"", None)"
2F/SF-A/PH,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""2F/SF-A/PH"", ""2F/SF-A/PH"")"
MF-3,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""MF-3"", ""MF-3"")"
LC,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""LC"", ""LC"")"
O-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""O-2"", ""O-2"")"
MF-1,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""MF-1"", ""MF-1"")"
GR,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""GR"", ""GR"")"
LI-1,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""LI-1"", ""LI-1"")"
RC,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""RC"", ""RC"")"
LI-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""LI-2"", ""LI-2"")"
MF-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""MF-2"", ""MF-2"")"
NBD,83,Plano Zoning,resolved,NB,Neighborhood Business District,"copy_zone(83, [33950], ""NBD"", ""Neighborhood Business District"", None)"
O-1,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""O-1"", ""O-1"")"
PH,83,Plano Zoning,resolved,PM-RH,Park Model Recreational Home District,"copy_zone(83, [33878], ""PH"", ""Park Model Recreational Home District"", None)"
MIXED-USE,83,Plano Zoning,resolved,PD-M|R-5,"Planned Unit Development, Mixed|Mixed Residential","copy_zone(83, [33967, 33995], ""MIXED-USE"", ""Planned Unit Development, Mixed"", None)"
MF-2/PH,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""MF-2/PH"", ""MF-2/PH"")"
O-2/SF-A,83,Plano Zoning,resolved,A,Single-Family Residential District,"copy_zone(83, [33980], ""O-2/SF-A"", ""Single-Family Residential District"", None)"
R,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|R-2|TR|R1-MH|RL-43|R2|RPD|RS-40|RS-30|TC-R|PD-R|A|B|RR|R-1|R-3|R-4|R-5,"Single-Family Residential|Single-Family Residential|Single-Family Residential|Two Family Residential|Transitional Residential|Manufactured Home Overlay District|Rural Zoning District|Two-Family Residential|Rural Preservation District|Residential Single-Family District|Residential Single-Family District|Town Core-Residential District|Planned Unit Development, Residential|Single-Family Residential District|Duplex Residential District|Rural Residential District|Single Family Residential|Multi-Family Residential|High Density Residential|Mixed Residential","copy_zone(83, [33863, 33866, 33869, 33881, 33884, 33914, 33920, 33923, 33932, 33935, 33938, 33941, 33964, 33980, 33983, 33991, 33992, 33993, 33994, 33995], ""R"", ""Single-Family Residential"", None)"
RCD,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""RCD"", ""RCD"")"
RE,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""RE"", ""RE"")"
RT,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""RT"", ""RT"")"
SF-20,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-20"", ""SF-20"")"
R/O-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""R/O-2"", ""R/O-2"")"
R/O-1,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""R/O-1"", ""R/O-1"")"
SF-7,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-7"", ""SF-7"")"
SF-6,83,Plano Zoning,resolved,R1-6,Single-Family Residential,"copy_zone(83, [33869], ""SF-6"", ""Single-Family Residential"", None)"
SF-6/SF-7/PH,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-6/SF-7/PH"", ""SF-6/SF-7/PH"")"
R/MF-2,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""R/MF-2"", ""R/MF-2"")"
SF-6/SF-7,83,Plano Zoning,not_found_zone,,,"insert_zone(83, ""SF-6/SF-7"", ""SF-6/SF-7"")"
SF,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|RS-40|RS-30|A|AA|R-1,Single-Family Residential|Single-Family Residential|Single-Family Residential|Residential Single-Family District|Residential Single-Family District|Single-Family Residential District|Single-Family District|Single Family Residential,"copy_zone(83, [33863, 33866, 33869, 33935, 33938, 33980, 33981, 33992], ""SF"", ""Single-Family Residential"", None)"
