"label","location_id","feature_set_name"
"Park",20,"zoning"
"OS",24,"Wickenburg Zoning"
"MH-435",27,"zoning"
"MPCMP",27,"zoning"
"Multiple",27,"zoning"
"RVP",27,"zoning"
"Government - Park",60,"tolleson Zoning"
"PAD",60,"tolleson Zoning"
"PAD-19",64,"Tucson Zoning"
"2F-C",72,"san_antonio Zoning"
"A",72,"san_antonio Zoning"
"A-1",72,"san_antonio Zoning"
"A-2",72,"san_antonio Zoning"
"A-3",72,"san_antonio Zoning"
"A-4",72,"san_antonio Zoning"
"A-5",72,"san_antonio Zoning"
"AA",72,"san_antonio Zoning"
"AD",72,"san_antonio Zoning"
"AG",72,"san_antonio Zoning"
"AG/ETJ",72,"san_antonio Zoning"
"AG-T",72,"san_antonio Zoning"
"APD",72,"san_antonio Zoning"
"A-R",72,"san_antonio Zoning"
"B",72,"san_antonio Zoning"
"B-1",72,"san_antonio Zoning"
"B1",72,"san_antonio Zoning"
"B-1A",72,"san_antonio Zoning"
"B-1B",72,"san_antonio Zoning"
"B-2",72,"san_antonio Zoning"
"B2",72,"san_antonio Zoning"
"B-3",72,"san_antonio Zoning"
"B3",72,"san_antonio Zoning"
"B3-OD",72,"san_antonio Zoning"
"B-4",72,"san_antonio Zoning"
"B4",72,"san_antonio Zoning"
"B-5",72,"san_antonio Zoning"
"C",72,"san_antonio Zoning"
"C-1",72,"san_antonio Zoning"
"C1",72,"san_antonio Zoning"
"C-1A",72,"san_antonio Zoning"
"C-1B",72,"san_antonio Zoning"
"C-2",72,"san_antonio Zoning"
"C2",72,"san_antonio Zoning"
"C-2A",72,"san_antonio Zoning"
"C-3",72,"san_antonio Zoning"
"C3",72,"san_antonio Zoning"
"C3R",72,"san_antonio Zoning"
"C-4",72,"san_antonio Zoning"
"C4",72,"san_antonio Zoning"
"C-4A",72,"san_antonio Zoning"
"C-4B",72,"san_antonio Zoning"
"C5",72,"san_antonio Zoning"
"CC",72,"san_antonio Zoning"
"CE-PUD",72,"san_antonio Zoning"
"Civic",72,"san_antonio Zoning"
"C-O",72,"san_antonio Zoning"
"D",72,"san_antonio Zoning"
"DP-1",72,"san_antonio Zoning"
"DP-2",72,"san_antonio Zoning"
"DVL",72,"san_antonio Zoning"
"E",72,"san_antonio Zoning"
"ER-1",72,"san_antonio Zoning"
"ER-2",72,"san_antonio Zoning"
"ER-3",72,"san_antonio Zoning"
"ER-4",72,"san_antonio Zoning"
"ETJ",72,"san_antonio Zoning"
"F",72,"san_antonio Zoning"
"G",72,"san_antonio Zoning"
"GB",72,"san_antonio Zoning"
"GB-2",72,"san_antonio Zoning"
"G/E",72,"san_antonio Zoning"
"GH",72,"san_antonio Zoning"
"H",72,"san_antonio Zoning"
"I",72,"san_antonio Zoning"
"I-1",72,"san_antonio Zoning"
"I1",72,"san_antonio Zoning"
"I-2",72,"san_antonio Zoning"
"IDZ-1",72,"san_antonio Zoning"
"L-1",72,"san_antonio Zoning"
"LI",72,"san_antonio Zoning"
"Logistics",72,"san_antonio Zoning"
"M-1",72,"san_antonio Zoning"
"M-1A",72,"san_antonio Zoning"
"M-2",72,"san_antonio Zoning"
"M-2A",72,"san_antonio Zoning"
"MF",72,"san_antonio Zoning"
"MF-1",72,"san_antonio Zoning"
"MF1",72,"san_antonio Zoning"
"MF-18",72,"san_antonio Zoning"
"MF-2",72,"san_antonio Zoning"
"MF2",72,"san_antonio Zoning"
"MF-25",72,"san_antonio Zoning"
"MF-3",72,"san_antonio Zoning"
"MF-33",72,"san_antonio Zoning"
"MF-40",72,"san_antonio Zoning"
"MF-D",72,"san_antonio Zoning"
"MH",72,"san_antonio Zoning"
"MH1",72,"san_antonio Zoning"
"MH2",72,"san_antonio Zoning"
"MHP",72,"san_antonio Zoning"
"MHS",72,"san_antonio Zoning"
"MI-1",72,"san_antonio Zoning"
"MI-2",72,"san_antonio Zoning"
"M-R",72,"san_antonio Zoning"
"MR",72,"san_antonio Zoning"
"MRD",72,"san_antonio Zoning"
"MSMU",72,"san_antonio Zoning"
"M-U",72,"san_antonio Zoning"
"MU",72,"san_antonio Zoning"
"MU-A",72,"san_antonio Zoning"
"MU-B",72,"san_antonio Zoning"
"MURE",72,"san_antonio Zoning"
"MUV",72,"san_antonio Zoning"
"MXD",72,"san_antonio Zoning"
"NC",72,"san_antonio Zoning"
"None",72,"san_antonio Zoning"
"NR",72,"san_antonio Zoning"
"NS",72,"san_antonio Zoning"
"O-1",72,"san_antonio Zoning"
"O1",72,"san_antonio Zoning"
"O-2",72,"san_antonio Zoning"
"OP",72,"san_antonio Zoning"
"OS",72,"san_antonio Zoning"
"OTHSD",72,"san_antonio Zoning"
"P",72,"san_antonio Zoning"
"Parks",72,"san_antonio Zoning"
"PD",72,"san_antonio Zoning"
"PDD",72,"san_antonio Zoning"
"PF-I",72,"san_antonio Zoning"
"PF-P",72,"san_antonio Zoning"
"PP",72,"san_antonio Zoning"
"PRE",72,"san_antonio Zoning"
"PUB",72,"san_antonio Zoning"
"Public",72,"san_antonio Zoning"
"PUD",72,"san_antonio Zoning"
"R-1",72,"san_antonio Zoning"
"R1",72,"san_antonio Zoning"
"R-1A-4",72,"san_antonio Zoning"
"R-1A-5.5",72,"san_antonio Zoning"
"R-1A-6.6",72,"san_antonio Zoning"
"R-1A-8",72,"san_antonio Zoning"
"R-2",72,"san_antonio Zoning"
"R2",72,"san_antonio Zoning"
"R-20",72,"san_antonio Zoning"
"R-2A",72,"san_antonio Zoning"
"R-2B",72,"san_antonio Zoning"
"R-2C",72,"san_antonio Zoning"
"R-3",72,"san_antonio Zoning"
"R3",72,"san_antonio Zoning"
"R-3A",72,"san_antonio Zoning"
"R-3H",72,"san_antonio Zoning"
"R-3L",72,"san_antonio Zoning"
"R-4",72,"san_antonio Zoning"
"R4",72,"san_antonio Zoning"
"R-5",72,"san_antonio Zoning"
"R5",72,"san_antonio Zoning"
"R-6",72,"san_antonio Zoning"
"R-7",72,"san_antonio Zoning"
"R-A",72,"san_antonio Zoning"
"RA",72,"san_antonio Zoning"
