"id","location_id","code","description","node_ids","ordinance_document_id","document_node_ids"
2,5,"SF-43","Single Family-43","{291}",8,"{""8"": [291]}"
3,5,"SF-35","Single Family-35","{313}",8,"{""8"": [313]}"
4,5,"SF-15","Single Family-15","{335}",8,"{""8"": [335]}"
5,5,"SF-10","Single Family-10","{357}",8,"{""8"": [357]}"
6,5,"SF-8","Single Family-8","{379}",8,"{""8"": [379]}"
7,5,"SF-7","Single Family-7","{401}",8,"{""8"": [401]}"
8,5,"SF-6","Single Family-6","{424}",8,"{""8"": [424]}"
9,5,"SF-D","Single Family Detached","{448}",8,"{""8"": [448]}"
10,5,"SF-A","Single Family Attached","{472}",8,"{""8"": [472]}"
11,5,"MF/L","Multi-Family/Low","{585}",8,"{""8"": [585]}"
12,5,"MF/M","Multi-Family/Medium","{625}",8,"{""8"": [625]}"
13,5,"MF/H","Multi-Family/High","{665}",8,"{""8"": [665]}"
14,5,"NC","Neighborhood Commercial","{741}",8,"{""8"": [741]}"
15,5,"CC","Community Commercial","{777}",8,"{""8"": [777]}"
16,5,"SC","Shopping Center","{814}",8,"{""8"": [814]}"
17,5,"GC","General Commercial","{850}",8,"{""8"": [850]}"
18,5,"RC","Regional Commercial","{887}",8,"{""8"": [887]}"
19,5,"HVC","Heritage Village Center","{941}",8,"{""8"": [941]}"
20,5,"NO","Neighborhood Office","{997}",8,"{""8"": [997]}"
21,5,"GO","General Office","{1031}",8,"{""8"": [1031]}"
22,5,"BP","Business Park","{1090}",8,"{""8"": [1090]}"
23,5,"LI","Light Industrial","{1132}",8,"{""8"": [1132]}"
24,5,"GI","General Industrial","{1174}",8,"{""8"": [1174]}"
25,5,"PF/I","Public Facility/Institutional","{1231}",8,"{""8"": [1231]}"
26,5,"GVC","Gateway Village Center","{1286}",8,"{""8"": [1286]}"
27,5,"GBC","Gateway Business Center","{1319}",8,"{""8"": [1319]}"
28,5,"MU/S","Mixed-Use/Small","{1394}",8,"{""8"": [1394]}"
